graph_uid,tracking_timestamp_us,utc_timestamp_ns,tx_world_device,ty_world_device,tz_world_device,qx_world_device,qy_world_device,qz_world_device,qw_world_device
simulated,0,-1,-6.0567577371677785,2.311666709573506,1.2616283144467413,-0.6517941471780616,0.4616975242852788,0.5441090925412436,0.25679774373466013
simulated,100000,-1,-6.041598734942268,2.430665555408278,1.2527628445663537,-0.6720362980611427,0.4058527198005465,0.5730708296508255,0.23503320642430198
simulated,200000,-1,-6.040863159351704,2.5698463794849187,1.250557572089788,-0.6811548123130412,0.38134474225817594,0.580094700929148,0.23258212994285118
simulated,300000,-1,-6.047322881481664,2.708149765741726,1.255651224437179,-0.6852538399047824,0.3678221323626889,0.5856474892096115,0.22836609254088797
simulated,400000,-1,-6.053768588612827,2.840502732220276,1.2633476135126285,-0.6853529834383059,0.36175595285619144,0.5925513421398297,0.21978813797293245
simulated,500000,-1,-6.0538485145373535,2.9775854504548604,1.2638812727509283,-0.6803264753860393,0.37794209663620715,0.5870962095738613,0.22278621856623382
simulated,600000,-1,-6.0439778589120134,3.1256944077463813,1.2518489068399248,-0.6702045961861935,0.4174173084875222,0.5629060160173752,0.2443878208041079
simulated,700000,-1,-6.034449538290381,3.26992622233175,1.2414436267268576,-0.6675768810691086,0.4274873529349146,0.5532480908277441,0.2559535523062677
simulated,800000,-1,-6.038999730291975,3.390708860071759,1.2511573500289257,-0.6879209741692275,0.34558509601149034,0.5986295043362485,0.22131062164055224
simulated,900000,-1,-6.060636056684897,3.4856579193602473,1.2864127862357058,-0.7051830745593238,0.1772224700815233,0.6719724001499958,0.14057781080211967
simulated,1000000,-1,-6.108032283861342,3.5646014681097125,1.3461318855726032,-0.6944929092894208,0.021101705950688106,0.716161490161274,0.06593206323687055
simulated,1100000,-1,-6.193930409909422,3.627832771709266,1.4311823772068923,0.6828524794225689,0.031095358732310452,-0.7283464414144415,-0.04750822340057276
simulated,1200000,-1,-6.292466798914151,3.6956368882565513,1.522677618033616,0.6866549062367194,-0.01344860055423519,-0.7226034690178922,-0.0785391714209098
simulated,1300000,-1,-6.366405716402225,3.8002180667782444,1.5949086186341621,0.695920384560186,-0.12196973070076422,-0.6946661966297714,-0.13511875667839005
simulated,1400000,-1,-6.407053800135496,3.942301159806785,1.636704841176137,0.7009624797505265,-0.23885092838983862,-0.6463736444465359,-0.18385577976829626
simulated,1500000,-1,-6.439812389441049,4.085003760898545,1.655509999874998,-0.7136377223325765,0.29275458133891075,0.6089797724244556,0.1848231401824732
simulated,1600000,-1,-6.488327282201433,4.198911982323816,1.6619115597791925,-0.7447859479394938,0.2414893515306425,0.6110048857819093,0.11683242015731539
simulated,1700000,-1,-6.55306604094299,4.295812571350377,1.6616673547144767,-0.7683324221555627,0.1412663820853753,0.6237096767051763,0.026369253713360272
simulated,1800000,-1,-6.636523581714552,4.390524973306558,1.659201023427004,-0.7748498188921178,0.07984235048746596,0.6266613942061804,-0.022988132656988902
simulated,1900000,-1,-6.73675558326853,4.485922503712352,1.6572522293483516,-0.7760653800671488,0.08192733341090047,0.6249902649483758,-0.019940075756381986
simulated,2000000,-1,-6.8411112928549285,4.582777311406818,1.6553133684253256,-0.7764146315980248,0.1021506589682579,0.6218741920937257,-0.004248755185919355
simulated,2100000,-1,-6.939329571464294,4.681636189472752,1.6530090973998959,-0.7779435689925034,0.1033523877581114,0.6197374514451659,-0.006897730362513621
simulated,2200000,-1,-7.033107477183968,4.781319718741225,1.6510256245683717,-0.7781355738721077,0.09412623559572042,0.6208130653031696,-0.01537590310151421
simulated,2300000,-1,-7.127017875487458,4.880296686141938,1.6503293977955547,-0.7733176092954472,0.0937065888408608,0.627008692814542,-0.007684367012536497
simulated,2400000,-1,-7.223545375448048,4.977664103174346,1.6526090773171511,-0.7659007916207113,0.09990305839367598,0.6350710679552475,0.010004747100205076
simulated,2500000,-1,-7.323117096360288,5.072923649847146,1.6599654835116242,-0.7655631147382085,0.08900216754051887,0.6371646637184379,0.003594834348321252
